inhal,DB update status,Curator,level1,level2,level3,level4,level5,level6,level7,level8,PARENT TERMS (optional),HAS_FOR,TERM,DEFINITION,Mapping,EXACT SYNONYMS,BROAD SYNONYMS,NARROW SYNONYMS,RELATED SYNONYMS,DB_SYNONYMS,ASSOCIATED PROCESS,ASSOCIATED ROLE,ASSOCIATED PHYSIOLOGICAL EFFECT,ASSOCIATED BIOLOGICAL LOCATION,TERM SOURCE,ORIGINAL_DEFINITION_SOURCE,SOURCE_OF_DEFINITION,COMMENT,SUGGESTED MAIN TERM
Modify,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Auditory System Disorder,,,Ear infection,"A viral or bacterial infection that affects the external, middle, or inner ear. It may follow an upper respiratory infection. Signs and symptoms include pain, ear discharge, ear fullness, hearing loss, vertigo, nausea, and vomiting. (NCI thesaurus)",Ear; middle ear; inner ear,Ear infection (NCI:C27193); acute otitis media,,,,,,,,,,NCI Thesaurus,NCI Thesaurus,,
Modify,20-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Auditory System Disorder,Vertigo,,BPPV,"A disorder characterized by a repeated, brief periods of vertigo with movement, arising from a problem in the inner ear. (NCI CTCAE)",ear; inner ear,benign paroxysmal positional vertigo,,,,,,,,,,NCI CTCAE,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Auditory System Disorder,,,Hearing impairment,A disorder characterized by partial or complete loss of the ability to detect or understand sounds resulting from damage to ear structures. (NCI CTCAE),ear,Hearing loss; deafness,,,,,,,,,,NCI CTCAE,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Auditory System Disorder,,,Vestibular dysfunction,"A disorder characterized by dizziness, imbalance, nausea, and vision problems. (NCI CTCAE)",ear; inner ear,Vestibular disorder,,,,,,,,,,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Hematological System Disorder,Erythrocytic Disorder,Anemia,Non-Nutritional Anemia,,,Sickle cell anemia,"A blood disorder characterized by abnormal hemoglobin creating misshapen red blood cells.  These irregularly shaped cells can get stuck in small blood vessels, which can slow or block blood flow and oxygen to parts of the body.",blood; blood cell,Drepanocytosis; Sickle-cell anaemia; Sickle-cell disease,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Hematological System Disorder; Genetic Disorder,Erythrocytic Disorder; Inborn Error of Metabolism,Anemia,Non-Nutritional Anemia,,,Beta-thalassemia,A thalassemia characterized by the reduced or absent synthesis of the beta globin chains of hemoglobin.,,Beta-thalassemia (DOID:12241),,thalassemia major;  thalassemia intermedia,,,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Hematological System Disorder; Genetic Disorder,Erythrocytic Disorder; Inborn Error of Metabolism,Anemia,Non-Nutritional Anemia,,,Homozygous sickle cell disease,An autosomal recessive (Gene HRA) blood disorder showing severe symptoms of sickle-cell disease.,blood; blood cell,Homozygous drepanocytosis; Homozygous sickle-cell anaemia,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Hematological System Disorder,Erythrocytic Disorder,Anemia,Nutritional Anemia,,,Iron deficiency anemia,A disorder characterized as an anemia caused by a lack of iron.,blood,,,,,,,,,,human-phenotype-ontology,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Hematological System Disorder,Erythrocytic Disorder,Anemia,Nutritional Anemia,,,Pernicious anemia,A disorder characterized by low levels of red blood cells due to a vitamin b12 deficiency.,blood; blood cell,Addison-Biermer anemia; Addison's anemia; Biermer's anemia; Vitamin B12 deficiency anemia.,,,,,,,,,HMDB,,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Olfactory System Disorder,,,Sinusitis,A disorder characterized by an infectious process involving the mucous membranes of the paranasal sinuses. (NCI CTCAE),paranasal sinus,rhinosinusitis,,,,,,,,,,NCI CTCAE,,,
Modify,03/19/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Amblyopia,A vision developmental disorder in which one eye fails to achieve normal visual acuity. (NIH),eye,Lazy eye,,,,,,,,,,HMDB,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Astigmatism,"A refractive error characterized by the optics of the eye to focus a point object into a sharp focused image on the retina, has symptom blurred vision. (DO)",eye; cornea,,,,,DOID:11782,,,,,,Disease Ontology (DO),,,
Modify,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Blindness,"A lack of vision, due to neurological or physiological factors.",eye,Blindness (NCI:C97109),,,,DOID:1432,,,,,,NCI thesaurus,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Cataract,A disorder characterized by partial or complete opacity of the crystalline lens of one or both eyes. This results in a decrease in visual acuity and eventual blindness if untreated. (NCI CTCAE),eye; lens,,,,,,,,,,,NCI CTCAE,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Conjunctival Cyst,"A cyst in the conjunctiva, the outermost layer of the eye and the inner surface of the eyelids.",eye; conjunctiva,,,,,,,,,,,NCI thesaurus,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Corneal Edema,"A disorder characterized by hazy, swollen cornea (the transparent front part of the eye that covers the iris, pupil, and anterior chamber).",eye; cornea,Corneal Edema (NCI:C50508),,,,,,,,,,NCI thesaurus; Wikipedia,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Corneal infection,A disorder characterized by an infectious process involving the cornea. (NCI CTCAE),eye; cornea,,,,,,,,,,,NCI CTCAE,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Corneal ulcer,A disorder characterized by an area of epithelial tissue loss on the surface of the cornea. It is associated with inflammatory cells in the cornea and anterior chamber. (NCI CTCAE),eye; cornea,,,,,,,,,,,NCI CTCAE,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Glaucoma,A disorder characterized by an increase in pressure in the eyeball due to obstruction of the aqueous humor outflow. (NCI CTCAE),eye,,,,,,,,,,HMDB,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Keratitis,A disorder characterized by inflammation to the cornea of the eye. (NCI CTCAE),eye; cornea,,,,,,,,,,,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Macular degeneration,A retinal degeneration characterized by gradual deterioration of light-sensing cells in the tissues at the back of the eye and has symptom vision loss. (DO),eye; retina,AMD; Age-related macular degeneration,,,,DOID:4448,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Ocular Hypertension,An eye disease that is characterized by elevated intraocular pressure in the absence of optic nerve damage or visual field loss. (DO),eye,OHT.,,,,DOID:9282,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,PNS Disorder,SNS Disorder,Visual System Disorder,,,Progressive external ophthalmoplegia,A disorder characterized by weakness and progressive degeneration of the eye muscles.,eye,"Ophthalmoplegia, pigmentary degenaration of retina and cardiomyopathy; Kearns-Sayre disease; Kearns-Sayre syndrome; KSS; Oculocraniosomatic syndrome; Ophthalmoplegia-plus syndrome; Mitochondrial cytopathy; Ophthalmoplegia, progressive external, with ragged-red fibre; Chronic progressive external ophthalmoplegia with myopathy; CPEO with myopathy; CPEO with ragged-red fibres",,,,,,,,,HMDB,,,Way too many synonyms. Kearns-Sayre has PEO as a symptom but they are not really synonyms.,
,,Naama,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Gallbladder infection,A disorder characterized by an infectious process involving the gallbladder. (NCI CTCAE),gallbladder,,,,,,,,,,,NCI CTCAE,,,
,,Naama; Yannick,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Biliary cirrhosis,"A disorder characterized by a progressive destruction of the small-to-medium bile ducts of the intrahepatic biliary tree, which leads to progressive cholestasis and often end-stage liver disease",liver; bile duct,"Biliary cirrhosis (HP:0002613); Liver Cirrhosis, Biliary (MeSH:D008105); Biliary cirrhosis (UMLS:C0023892)",,,,HP:0002613,,,,,human-phenotype-ontology,,TMIC team,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Bile duct hyperplasia,"An enlargement of the bile duct due to an increase in reproduction of cholangiolar cells, usually as a result of exposure to a poison or toxin.",liver; bile duct,Bile duct proliferation,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Biliary atresia,A cholestasis characterized by blockage of the ducts that carry bile from the liver to the gallbladder. (DO),liver; bile duct, extrahepatic ductopenia; progressive obliterative cholangiopathy,,,,DOID:13608,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Biliary tract neoplasm,A hepatobiliary benign neoplasm located in the biliary tract. (DO),biliary tract,,,,,DOID:0050625,,,,,,Disease Ontology (DO),,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Choledochal cyst,Cystic dilatation of the hepatic duct or bile duct.,bile duct, Choledochal cyst (NCI:C2943); bile duct cyst,,,,DOID:899,,,,,HMDB,Disease Ontology (DO),,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Cholelithiasis,The presence of calculi (stones) in the gallbladder.,gallbladder,Cholelithiasis (NCI:C122822),,,,DOID:10211,,,,,HMDB,NCI thesaurus,TMIC team,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Gallbladder disease,A gastrointestinal system disease that is located in the gallbladder. (DO),gallbladder,Gallstone disease; Gall-bladder disease,,,,DOID:0060262,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Gallbladder pain,A disorder characterized by a sensation of marked discomfort in the gallbladder region. (NCI CTCAE),gallbladder,,,,,,,,,,,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Primary biliary cirrhosis,A liver cirrhosis characterized by chronic and slow progressive destruction of intrahepatic bile ducts. (DO),bile duct,PBC; Primary biliary cholangitis,,,,DOID:12236,,,,,HMDB,Disease Ontology (DO),,,
