id	name	hmdb_id	conditions	indication_types	concentration	age	sex	biofluid	citation
1	1-Methylhistidine	HMDB0000001	Obesity	Diagnostic	10.9 (0.80-21.0) umol/mmol creatinine	Adult	Both	Urine	Tuma, P., Samcova, E. & Balinova, P. Determination of 3-methylhistidine and 1-methylhistidine in untreated urine samples by capillary electrophoresis. J Chromatogr B Analyt Technol Biomed Life Sci 821, 53-59 (2005).
1	1-Methylhistidine	HMDB0000001	Normal	Diagnostic	85.8 (17.7-153.8) umol/mmol creatinine	Adult	Both	Urine	David F. Putnam Composition and Concentrative Properties of Human Urine. NASA Contractor Report. July 1971
1	1-Methylhistidine	HMDB0000001	Alzheimer's Disease	Diagnostic	15.7 (11.7-19.7) umol/mmol creatinine	Adult	Both	Urine	Fonteh, A. N., Harrington, R. J., Tsai, A., Liao, P. & Harrington, M. G. Free amino acid and dipeptide changes in the body fluids from Alzheimer's disease subjects. Amino Acids 32, 213-224 (2007).
1	1-Methylhistidine	HMDB0000001	Pregnancy	Diagnostic	50.0 (44.2-55.8) uM	Adult	Female	Blood	Pubmed_ID: 22494326
1	1-Methylhistidine	HMDB0000001	Normal	Diagnostic	12.7 (9.8-15.6) uM	Adult	Both	Blood	Dohm, G. L., Williams, R. T., Kasperek, G. J. & van Rij, A. M. Increased excretion of urea and N tau -methylhistidine by rats and humans after a bout of exercise. J Appl Physiol 52, 27-33 (1982).
1	1-Methylhistidine	HMDB0000001	Preeclampsia/Eclampsia	Diagnostic	50.7 uM	Adult: >=18 yrs old	Female	Blood	Pubmed_ID: 22494326
1	1-Methylhistidine	HMDB0000001	Kidney Disease	Diagnostic	83.1 (61.4-104.8) uM	Adult	Both	Blood	Raj, D. S., Ouwendyk, M., Francoeur, R. & Pierratos, A. Plasma amino acid profile on nocturnal hemodialysis. Blood Purif 18, 97-102 (2000).
2	1,3-Diaminopropane	HMDB0000002	Leukemia	Diagnostic	0.96 (0.12-2.1) umol/mmol creatinine	Adult	Both	Urine	Lee, S. H., Suh, J. W., Chung, B. C. & Kim, S. O. Polyamine profiles in the urine of patients with leukemia. Cancer Lett 122, 1-8 (1998).
2	1,3-Diaminopropane	HMDB0000002	Normal	Diagnostic	0.015 (0-1.0) umol/mmol creatinine	Adult	Both	Urine	Guo, K. & Li, L. Differential 12C-/13C-isotope dansylation labeling and fast liquid chromatography/mass spectrometry for absolute and relative quantification of the metabolome. Anal Chem 81, 3919-3932 (2009).
4	2-Hydroxybutyric acid	HMDB0000008	Pyruvate Dehydrogenase Deficiency	Diagnostic	25.0 (25.0-27.9) umol/mmol creatinine	Adult	Both	Urine	OMIM 238331
4	2-Hydroxybutyric acid	HMDB0000008	Normal	Diagnostic	2.8 (1.2-6.9) umol/mmol creatinine	Adult	Both	Urine	Pubmed_ID: 24023812
4	2-Hydroxybutyric acid	HMDB0000008	Pregnancy	Diagnostic	19.5 (14.6-24.4) uM	Adult	Female	Blood	Pubmed_ID: 22494326
4	2-Hydroxybutyric acid	HMDB0000008	Normal	Diagnostic	54.0 (8.0-80.0) uM	Adult	Both	Blood	Hoffmann, G. F., Meier-Augenstein, W., Stockler, S., Surtees, R., Rating, D. & Nyhan, W. L. Physiology and pathophysiology of organic acids in cerebrospinal fluid. J Inherit Metab Dis 16, 648-669 (1993).
4	2-Hydroxybutyric acid	HMDB0000008	Preeclampsia/Eclampsia	Diagnostic	21.4 uM	Adult: >=18 yrs old	Female	Blood	Pubmed_ID: 22494326
5	2-Methoxyestrone	HMDB0000010	Prolactinoma	Diagnostic	0.025 (0.020-0.030) umol/mmol creatinine	Adult	Both	Urine	Lee, S. H., Nam, S. Y. & Chung, B. C. Altered profile of endogenous steroids in the urine of patients with prolactinoma. Clin Biochem 31, 529-535 (1998).
5	2-Methoxyestrone	HMDB0000010	Normal	Diagnostic	0.0050 (0.0040-0.0060) umol/mmol creatinine	Adult	Both	Urine	Lee, S. H., Nam, S. Y. & Chung, B. C. Altered profile of endogenous steroids in the urine of patients with prolactinoma. Clin Biochem 31, 529-535 (1998).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Fumarase Deficiency	Diagnostic	351.9 umol/mmol creatinine	Infant: 1 wk-2 yrs old	Male	Urine	Pubmed_ID: 26078636
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	2.0 (0.60-5.6) umol/mmol creatinine	Infant	Both	Urine	Guneral, F. & Bachmann, C. Age-related reference values for urinary organic acids in a healthy Turkish pediatric population. Clin Chem 40, 862-866 (1994).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Pyruvate Carboxylase Deficiency	Diagnostic	8359.0 (8356.5-8361.5) umol/mmol creatinine	Infant	Unknown	Urine	Pubmed_ID: 28649521
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Diabetes Mellitus Type 2	Diagnostic	224.0 umol/mmol creatinine	Adult: >=18 yrs old	Both	Urine	Bales, J. R., Higham, D. P., Howe, I., Nicholson, J. K. & Sadler, P. J. Use of high-resolution proton nuclear magnetic resonance spectroscopy for rapid multi-component analysis of urine. Clin Chem 30, 426-432 (1984).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	0.62 umol/mmol creatinine	Adult: >=18 yrs old	Both	Urine	Pubmed_ID: 20822677
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Meningitis	Diagnostic	430.0 (359.0-501.0) uM	Adult	Both	Cerebrospinal_Fluid	Subramanian, A., Gupta, A., Saxena, S., Gupta, A., Kumar, R., Nigam, A., Kumar, R., Mandal, S. K. & Roy, R. Proton MR CSF analysis and a new software as predictors for the differentiation of meningitis in children. NMR Biomed 18, 213-225 (2005).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	34.0 (3.0-65.0) uM	Adult	Both	Cerebrospinal_Fluid	Wishart, D. S., Lewis, M. J., Morrissey, J. A., Flegel, M. D., Jeroncic, K., Xiong, Y., Cheng, D., Eisner, R., Gautam, B., Tzur, D., Sawhney, S., Bamforth, F., Greiner, R. & Li, L. The human cerebrospinal fluid metabolome. J Chromatogr B Analyt Technol Biomed Life Sci 871, 164-173 (2008).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Diabetes Mellitus Type 2	Diagnostic	6.4e+03 (5.4e+03-7.4e+03) uM	Adult: >=18 yrs old	Both	Cerebrospinal_Fluid	Tasker, R. C., Lutman, D. & Peters, M. J. Hyperventilation in severe diabetic ketoacidosis. Pediatr Crit Care Med 6, 405-411 (2005).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Anoxia	Diagnostic	2600.0 (2500.0-2700.0) uM	Adult	Both	Cellular_Cytoplasm	Zupke, C., Sinskey, A. J. & Stephanopoulos, G. Intracellular flux analysis applied to the effect of dissolved oxygen on hybridomas. Appl Microbiol Biotechnol 44, 27-36 (1995).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	1300.0 (1200.0-1400.0) uM	Adult	Both	Cellular_Cytoplasm	Zupke, C., Sinskey, A. J. & Stephanopoulos, G. Intracellular flux analysis applied to the effect of dissolved oxygen on hybridomas. Appl Microbiol Biotechnol 44, 27-36 (1995).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Medium Chain Acyl Co A Dehydrogenase Deficiency	Diagnostic	1.0e+03 (700.0-1.3e+03) uM	Infant: 1 wk-2 yrs old	Unknown	Blood	Pubmed_ID: 11489939
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	500.0 (-140.0-500.0) uM	Infant: 1 wk-2 yrs old	Unknown	Blood	Robinson, B. H. & Sherwood, W. G. Pyruvate dehydrogenase phosphatase deficiency: a cause of congenital chronic lactic acidosis in infancy. Pediatr Res 9, 935-939 (1975).
