biomarker_type	id	name	hmdb_id	conditions	indication_types	concentration	age	sex	biofluid	citation
Chemical	11	4-Pyridoxic acid	HMDB0000017	Vitamin B6 Consumption	Exposure	2.36 umol/day	NA	Both	Urine, 24-h	NA
Chemical	519	Cotinine	HMDB0001046	Smoking	Exposure	0.05 mg/L	NA	Both	Urine, spot	NA
Chemical	519	Cotinine	HMDB0001046	Cotinine Exposure	Exposure	0.0073 (0.0059-0.0091) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Normal	Exposure	0.00023 (0.00021-0.00026) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Cotinine Exposure	Exposure	0.0100 (0.0082-0.014) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Normal	Exposure	0.00032 (0.00027-0.00039) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Cotinine Exposure	Exposure	0.0083 (0.0065-0.011) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Normal	Exposure	0.00031 (0.00027-0.00035) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Cotinine Exposure	Exposure	0.012 (0.0100-0.014) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Normal	Exposure	0.00040 (0.00032-0.00051) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Cotinine Exposure	Exposure	0.0074 (0.0050-0.0091) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Normal	Exposure	0 uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Cotinine Exposure	Exposure	0.011 (0.0091-0.015) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
