id	karyotype	description	conditions	indication_types
1	t(1;14)(p22;q32)	Translocation: The segment from 1p22 to 1pter replaces the segment from 14q32 to 14qter and vice-versa.	Malt Lymphoma	Diagnostic
2	t(1;14)(q21;q32)	Translocation: The segment from 1q21 to 1qter replaces the segment from 1432 to 143ter and vice-versa.	B-Cell Non-Hodgkin Lymphoma	Diagnostic
2	t(1;14)(q21;q32)	Translocation: The segment from 1q21 to 1qter replaces the segment from 1432 to 143ter and vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
2	t(1;14)(q21;q32)	Translocation: The segment from 1q21 to 1qter replaces the segment from 1432 to 143ter and vice-versa.	Non Hodgkin lymphoma	Diagnostic
3	t(1;22)(q21;q11)	Translocation: The segment from 1q21 to 1qter replaces the segment from 22q11 to 22qter and vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
3	t(1;22)(q21;q11)	Translocation: The segment from 1q21 to 1qter replaces the segment from 22q11 to 22qter and vice-versa.	Non Hodgkin lymphoma	Diagnostic
5	t(3;14)(p14;q32)	Translocation: The segment from 3p14 to 3pter replaces the segment from 14q32 to 14qter and vice-versa.	Malt Lymphoma	Diagnostic
6	t(3;14)(q27;q32)	Translocation: The segment from 3q27 to 3qter replaces the segment from 14q32 to 14qter and vice-versa.	Non Hodgkin lymphoma	Diagnostic
6	t(3;14)(q27;q32)	Translocation: The segment from 3q27 to 3qter replaces the segment from 14q32 to 14qter and vice-versa.	Diffuse Large B Cell Lymphoma	Diagnostic
7	t(6;14)(p21;q32)	Translocation: The segment from 6p21 to 6pter replaces the segment from 14q32 to 14qter and vice-versa.	Multiple Myeloma	Diagnostic
8	t(7;14)(q21;q32)	Translocation: The segment from 7q21 to 7qter replaces the segment from 14q32 to 14qter and vice-versa.	Chronic Lymphocytic Leukemia	Diagnostic
8	t(7;14)(q21;q32)	Translocation: The segment from 7q21 to 7qter replaces the segment from 14q32 to 14qter and vice-versa.	Marginal Zone Lymphoma	Diagnostic
9	t(8;14)(q24;q32)	Translocation: The segment from8q24to8qterreplaces the segment from14q32to14qterand vice-versa.	Burkitt Lymphoma	Diagnostic
9	t(8;14)(q24;q32)	Translocation: The segment from8q24to8qterreplaces the segment from14q32to14qterand vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
9	t(8;14)(q24;q32)	Translocation: The segment from8q24to8qterreplaces the segment from14q32to14qterand vice-versa.	Blastic plasmacytoid dendritic cell neoplasm	Diagnostic
9	t(8;14)(q24;q32)	Translocation: The segment from8q24to8qterreplaces the segment from14q32to14qterand vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
9	t(8;14)(q24;q32)	Translocation: The segment from8q24to8qterreplaces the segment from14q32to14qterand vice-versa.	Non Hodgkin lymphoma	Diagnostic
9	t(8;14)(q24;q32)	Translocation: The segment from8q24to8qterreplaces the segment from14q32to14qterand vice-versa.	Breast Cancer	Diagnostic
10	t(9;14)(p13;q32)	Translocation: The segment from 9p13 to 9pter replaces the segment from 14q32 to 14qter and vice-versa.	Lymphoproliferative Disorders	Diagnostic
11	t(10;14)(q24;q32)	Translocation: The segment from 10q24 to 10qter replaces the segment from 14q32 to 14qter and vice-versa.	Multiple Myeloma	Diagnostic
11	t(10;14)(q24;q32)	Translocation: The segment from 10q24 to 10qter replaces the segment from 14q32 to 14qter and vice-versa.	Chronic Lymphocytic Leukemia	Diagnostic
12	t(11;14)(q13;q32)	Translocation: The segment from 11q13 to 11qter replaces the segment from 14q32 to 14qter and vice-versa.	Multiple Myeloma	Diagnostic
12	t(11;14)(q13;q32)	Translocation: The segment from 11q13 to 11qter replaces the segment from 14q32 to 14qter and vice-versa.	Chronic Lymphocytic Leukemia	Diagnostic
